,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,chorus_hit,sections,target
0,0.578,0.47100000000000003,4,-7.27,1,0.0289,0.368,0.0,0.159,0.532,133.061,196707.0,4,30.88059,13,1
1,0.7040000000000001,0.8540000000000001,10,-5.477,0,0.183,0.0185,0.0,0.14800000000000002,0.688,92.988,242587.0,4,41.51106,10,1
2,0.162,0.836,9,-3.009,1,0.0473,0.00011100000000000001,0.00457,0.174,0.3,86.964,338893.0,4,65.32887,13,0
3,0.188,0.9940000000000001,4,-3.745,1,0.166,7.39e-06,0.0784,0.192,0.33299999999999996,148.44,255667.0,4,58.59528,9,0
4,0.63,0.764,2,-4.353,1,0.0275,0.363,0.0,0.125,0.631,112.098,193760.0,4,22.623839999999998,10,1
5,0.726,0.8370000000000001,11,-7.223,0,0.0965,0.373,0.268,0.136,0.9690000000000001,135.347,192720.0,4,28.290509999999998,10,0
6,0.365,0.922,1,-2.6439999999999997,1,0.071,0.00285,0.0,0.321,0.29,77.25,89427.0,4,45.77202,4,0
7,0.726,0.631,11,-8.136000000000001,0,0.0334,0.22,0.0,0.193,0.746,124.711,239240.0,4,35.59732,10,1
8,0.48100000000000004,0.7859999999999999,10,-5.654,1,0.0288,0.0538,0.0,0.0759,0.389,153.105,253640.0,4,19.65701,11,1
9,0.647,0.324,7,-9.679,1,0.0377,0.354,0.0,0.115,0.344,124.213,314286.0,3,32.66343,16,0
10,0.787,0.632,8,-3.487,1,0.13699999999999998,0.10300000000000001,6.78e-06,0.38799999999999996,0.612,141.026,198173.0,4,18.090999999999998,9,1
11,0.491,0.7759999999999999,2,-3.887,1,0.0393,0.314,0.0,0.146,0.428,154.988,202547.0,4,37.86861,9,1
12,0.455,0.737,1,-6.206,1,0.0272,0.00114,0.000487,0.195,0.20600000000000002,94.02799999999999,224053.0,4,62.777590000000004,9,0
13,0.725,0.733,0,-6.66,1,0.0242,0.508,0.0,0.17300000000000001,0.843,100.311,219827.0,4,27.0663,8,1
14,0.49700000000000005,0.42100000000000004,2,-14.059000000000001,0,0.187,0.985,0.8390000000000001,0.14800000000000002,0.804,92.19,232719.0,4,33.3613,15,0
15,0.509,0.9420000000000001,11,-6.899,1,0.0628,0.0006389999999999999,0.882,0.0788,0.163,169.96,460080.0,4,34.78597,12,0
16,0.708,0.728,7,-7.039,1,0.0298,0.011000000000000001,2.26e-05,0.0556,0.7040000000000001,119.881,258640.0,4,33.81641,15,1
17,0.518,0.9159999999999999,3,-3.858,1,0.0454,0.000148,0.0,0.29100000000000004,0.6459999999999999,109.86399999999999,238880.0,4,19.81215,10,1
18,0.395,0.248,1,-10.025,1,0.0519,0.9790000000000001,0.0,0.177,0.324,85.17399999999999,207888.0,3,34.502520000000004,10,0
19,0.37799999999999995,0.953,9,-3.6319999999999997,1,0.138,0.000719,2.8899999999999998e-05,0.0936,0.512,167.808,200347.0,4,20.58661,12,0
20,0.9,0.593,10,-6.629,0,0.33299999999999996,0.0554,0.0,0.0304,0.633,92.946,172933.0,4,21.78144,9,1
21,0.32899999999999996,0.812,2,-11.48,1,0.0872,0.0141,0.0786,0.0603,0.4,165.013,272880.0,4,97.84874,9,0
22,0.389,0.598,4,-8.472999999999999,1,0.0363,0.782,0.948,0.0825,0.0396,140.002,226147.0,4,22.35533,10,0
23,0.7440000000000001,0.6970000000000001,11,-5.063,0,0.19699999999999998,0.0106,0.0,0.0842,0.767,149.28,247413.0,4,42.63475,9,1
24,0.723,0.785,5,-5.722,1,0.0302,0.0247,0.0034700000000000004,0.26,0.816,128.03,209987.0,4,64.24515,9,0
25,0.56,0.8079999999999999,10,-6.725,1,0.0306,0.2,0.308,0.41600000000000004,0.691,128.05100000000002,205827.0,4,30.933909999999997,11,0
26,0.643,0.391,10,-10.09,1,0.0296,0.622,1.3800000000000002e-05,0.11,0.418,143.786,219933.0,4,28.431240000000003,12,1
27,0.735,0.732,10,-8.915,1,0.0699,0.5720000000000001,2.61e-05,0.0997,0.6559999999999999,117.58,116507.0,4,45.59357,5,0
29,0.5870000000000001,0.88,4,-5.725,1,0.0324,0.0784,0.0,0.182,0.778,129.222,246240.0,4,20.93198,10,1
30,0.743,0.67,1,-4.547,0,0.0293,0.0108,0.0702,0.22,0.934,110.83200000000001,243333.0,4,25.36994,12,1
31,0.659,0.812,4,-7.499,0,0.0487,0.23,0.0,0.0951,0.888,83.01299999999999,235133.0,4,25.46132,12,1
32,0.539,0.985,1,-7.354,1,0.126,0.00857,0.12,0.0792,0.127,162.065,363000.0,4,25.11119,17,0
33,0.8909999999999999,0.7140000000000001,4,-6.055,0,0.14,0.20199999999999999,0.000234,0.0521,0.818,100.97200000000001,267267.0,4,37.11249,12,1
34,0.684,0.606,5,-7.268,0,0.0504,0.17,0.0,0.057999999999999996,0.723,127.90100000000001,275107.0,4,41.49527,13,1
35,0.6579999999999999,0.9540000000000001,9,-5.376,1,0.0792,0.000891,9.800000000000001e-06,0.115,0.486,132.029,411084.0,3,37.91539,18,0
36,0.47100000000000003,0.9359999999999999,11,-3.3539999999999996,1,0.0448,0.0783,0.0,0.171,0.45,89.881,208186.0,4,22.214129999999997,7,1
37,0.7809999999999999,0.746,8,-2.6860000000000004,1,0.17,0.364,0.0,0.098,0.7859999999999999,89.43,229800.0,4,26.642979999999998,10,1
38,0.32799999999999996,0.9390000000000001,2,-1.6540000000000001,0,0.0423,4.93e-05,0.0065,0.337,0.32899999999999996,185.97099999999998,233987.0,4,78.255,7,1
39,0.746,0.7170000000000001,10,-5.787999999999999,0,0.127,0.18899999999999997,0.0,0.0704,0.475,109.75299999999999,209547.0,4,38.40043,11,1
40,0.493,0.977,5,-3.8080000000000003,0,0.151,7.21e-06,0.005379999999999999,0.35600000000000004,0.322,100.02,210987.0,4,55.87392,10,0
41,0.57,0.664,0,-4.718,0,0.0322,0.00836,1.2e-05,0.0719,0.48700000000000004,162.084,213520.0,4,33.46,8,1
42,0.564,0.878,7,-6.835,1,0.0499,9.11e-06,0.7929999999999999,0.6709999999999999,0.483,127.046,287600.0,4,50.274370000000005,11,0
43,0.27699999999999997,0.836,2,-6.563,1,0.0458,0.000225,0.0284,0.11699999999999999,0.35100000000000003,95.514,267128.0,4,23.12976,10,0
44,0.787,0.765,0,-6.331,1,0.0265,0.231,1.7899999999999998e-05,0.32299999999999995,0.9640000000000001,115.979,204827.0,4,30.213040000000003,10,1
45,0.312,0.40399999999999997,5,-10.014,1,0.0293,0.184,0.0,0.306,0.115,138.425,239827.0,4,54.21894,12,1
46,0.45799999999999996,0.55,2,-7.0920000000000005,1,0.0262,0.5660000000000001,1.39e-05,0.10800000000000001,0.56,90.56,198360.0,4,22.42462,10,1
47,0.341,0.659,2,-5.419,1,0.0357,0.442,0.0,0.096,0.26899999999999996,79.987,240240.0,4,25.29826,14,1
49,0.5660000000000001,0.919,2,-1.901,0,0.0639,0.0666,0.0,0.34,0.55,146.99,242293.0,4,30.404909999999997,11,0
50,0.6609999999999999,0.7959999999999999,7,-4.776,1,0.0833,0.0347,0.0,0.396,0.657,87.98200000000001,210867.0,4,25.31054,9,1
51,0.5479999999999999,0.815,2,-5.218,0,0.0409,0.0175,8.900000000000001e-06,0.127,0.212,129.963,191733.0,4,42.491209999999995,8,1
52,0.42200000000000004,0.736,5,-4.426,0,0.049,0.203,0.0,0.102,0.303,129.278,260093.0,4,29.054240000000004,12,1
53,0.71,0.7959999999999999,0,-9.427,1,0.0554,0.00875,0.8590000000000001,0.10099999999999999,0.523,135.012,239964.0,4,18.225170000000002,14,0
54,0.62,0.746,11,-6.006,1,0.0552,0.424,0.0,0.0684,0.191,138.454,238067.0,4,23.56907,11,1
55,0.525,0.48100000000000004,8,-6.715,1,0.0251,0.302,0.0,0.121,0.237,75.97399999999999,289000.0,4,42.11222,11,1
56,0.8690000000000001,0.887,0,-4.505,1,0.0993,0.0605,0.0,0.14800000000000002,0.784,129.221,198400.0,4,29.401429999999998,10,1
57,0.547,0.6829999999999999,2,-7.749,1,0.0368,0.0236,0.0,0.09300000000000001,0.888,94.93700000000001,163997.0,4,48.12128,8,0
58,0.469,0.132,10,-14.001,1,0.0807,0.929,0.0,0.0873,0.36,67.01100000000001,281467.0,3,23.73524,11,1
59,0.364,0.866,1,-6.797999999999999,1,0.139,0.0134,0.00618,0.109,0.963,189.09099999999998,374773.0,3,29.831220000000002,19,0
60,0.6890000000000001,0.907,9,-5.587000000000001,1,0.037000000000000005,0.0254,0.000732,0.138,0.912,116.96799999999999,211893.0,4,41.28787,10,1
61,0.602,0.32799999999999996,3,-16.128,1,0.0249,0.8420000000000001,0.000758,0.20800000000000002,0.413,108.00299999999999,385253.0,4,43.01027,21,0
62,0.473,0.59,6,-5.372999999999999,1,0.0298,0.359,0.0,0.10099999999999999,0.33399999999999996,140.191,235307.0,4,38.45284,10,1
63,0.715,0.809,9,-5.598,1,0.205,0.0607,0.0,0.35200000000000004,0.636,76.493,247440.0,4,29.852590000000003,9,1
64,0.5710000000000001,0.281,5,-10.56,1,0.0475,0.74,0.0,0.163,0.294,142.263,233667.0,4,42.295809999999996,9,0
65,0.461,0.93,8,-8.343,0,0.187,0.0531,0.733,0.177,0.14,163.93400000000003,371984.0,4,48.209559999999996,19,0
66,0.51,0.8809999999999999,11,-4.3839999999999995,0,0.0354,0.000591,1.4599999999999999e-05,0.131,0.278,91.03399999999999,232093.0,4,31.97236,9,0
67,0.48100000000000004,0.508,2,-7.666,1,0.0248,0.21600000000000003,0.000175,0.105,0.268,86.01299999999999,224613.0,4,71.34437,7,1
